covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
L0_S13__notna,0.040172346619380274,1.04099016986941,0.021246499940386184,-0.0014700280613090533,0.0818147213000696,0.998531051900685,1.0852547166179916,0.0,1.8907747973594038,0.05865441283637509,4.091616536974258
L0_S13__abs_sum,0.23101256998113348,1.2598750759556343,0.1446885140742534,-0.05257170658101992,0.5145968465432869,0.9487862843959198,1.6729639046424662,0.0,1.5966199629542053,0.1103504462571262,3.179835631000319
L0_S16__mean,0.9425022461269578,2.566395142930655,0.4296702263928962,0.10036407716770979,1.7846404150862059,1.1055733588286352,5.957437357785456,0.0,2.1935479542981438,0.028267923522102254,5.144690278816157
L0_S16__std,-0.2335725218275339,0.7917001781144812,0.44495746541882125,-1.10567312870065,0.6385280850455823,0.3309880097105404,1.893691474125146,0.0,-0.5249322462938815,0.5996302918837386,0.7378548282684152
L0_S16__notna,0.03306161886841612,1.033614227418161,0.025271868448190984,-0.016470333112072355,0.08259357084890459,0.9836645612240995,1.0861002960112207,0.0,1.3082380092391919,0.1907925937977789,2.3899229251089116
L0_S16__abs_sum,0.2906129798703482,1.3372469423026412,0.29370854987263634,-0.28504519983150534,0.8662711595722017,0.7519802641699781,2.3780270173334643,0.0,0.9894604021448115,0.3224379344862991,1.6329066094712454
L0_S17__mean,-0.6210569384221225,0.5373761638177106,0.2497839853257614,-1.1106245535754962,-0.1314893232687488,0.32935319810939917,0.8767886363244572,0.0,-2.486376128606312,0.01290514881584644,6.275909411795319
L0_S17__std,0.34394980447985307,1.4105078325563714,0.3468700473288947,-0.3359029956004845,1.0238026045601907,0.7146924307636751,2.7837602023810217,0.0,0.9915811616727093,0.32140188259934016,1.6375497153181093
L0_S17__notna,0.0367117531961593,1.0373939522463862,0.02528766460418145,-0.012851158681164668,0.08627466507348326,0.9872310648590896,1.0901057011521256,0.0,1.4517652685922138,0.1465668841479981,2.770368922332426
L0_S17__abs_sum,-0.12619496811809452,0.8814429767509873,0.1553393870491329,-0.43065457211492264,0.17826463587873362,0.6500834289390819,1.1951415567254018,0.0,-0.812382297338278,0.4165723009125618,1.2633611812520256
L0_S18__mean,-0.12122212731766407,0.8858371691031529,0.5784743490452462,-1.255011017426599,1.0125667627912707,0.28507270743952234,2.7526573736672497,0.0,-0.20955488781436446,0.8340150920907418,0.26185460439791847
L0_S18__std,-0.07048704360165553,0.9319398140310428,0.35202683141164604,-0.760446954760235,0.6194728675569241,0.46745744797972016,1.8579483987896446,0.0,-0.20023202015311956,0.8412991257621196,0.24930924978657604
L0_S18__notna,0.03442403191723698,1.0350233966463431,0.016486287067937207,0.0021115030252916098,0.06673656080918236,1.0021137338176365,1.0690138209404907,0.0,2.0880403074010148,0.03679419888190734,4.764377866536817
L0_S18__abs_sum,-0.11909765437073402,0.8877211066829307,0.1701275965487402,-0.4525416163826257,0.2143463076411576,0.636009603201472,1.23905167356527,0.0,-0.7000490031410835,0.48389670212392355,1.0472289879637724
L0_S19__mean,0.7535842205280117,2.1246014259560138,0.47497517154807434,-0.17735000925694788,1.684518450312971,0.8374866051538667,5.389854824418365,0.0,1.5865760268518332,0.11260870056044271,3.1506097952625187
L0_S19__std,0.315620328359957,1.3711095853654771,0.24697690207359224,-0.1684455047175596,0.7996861614374736,0.8449773094414132,2.2248425775170912,0.0,1.2779345991873805,0.20127248727346664,2.312778116800328
L0_S19__notna,0.012663363530564584,1.0127438834438536,0.016490282944157202,-0.01965699713485866,0.044983724195987826,0.9805349419273606,1.0460108351028243,0.0,0.7679288204725097,0.4425294739881348,1.1761545480297368
L0_S19__abs_sum,0.1417846805966756,1.1523285031369748,0.11312832712829086,-0.07994276620604007,0.36351212739939126,0.9231691813493642,1.4383723005148557,0.0,1.2533083816919486,0.21009349926671378,2.250896572194676
L0_S21__mean,-1.5789700430171256,0.20618735298345997,1.1153016886156109,-3.7649211846004293,0.6069810985661779,0.02316943827187941,1.8348836959903312,0.0,-1.4157335715837136,0.15685352521677978,2.6725101413793237
L0_S21__std,0.033418234021850984,1.0339828956468955,0.7779793221143109,-1.4913932180390839,1.5582296860827858,0.22505888091921,4.7504040903594635,0.0,0.042955169979364494,0.9657372700174547,0.050297339363867044
L0_S21__notna,0.00646900565184141,1.0064899748611618,0.004172777244322305,-0.0017094874625386029,0.014647498766221421,0.9982919728788902,1.0147552990681203,0.0,1.5502877994849762,0.12107245435285892,3.0460574254693253
L0_S21__abs_sum,0.007718235540070603,1.0077480978987958,0.0784761668621426,-0.14609222515448456,0.16152869623462573,0.8640780097818923,1.1753061845364914,0.0,0.09835133198629671,0.9216533186907357,0.11770391414702627
L0_S23__mean,-0.05547471773338094,0.9460359413009866,0.7652325962190646,-1.555303046118829,1.4443536106520671,0.21112539221473878,4.239111140752516,0.0,-0.07249392930656091,0.9422088364710715,0.08588123255546827
L0_S23__std,0.11067061339326599,1.1170269125472327,0.5527684897892077,-0.9727357183821776,1.1940769451687097,0.37804739093310014,3.300509812473767,0.0,0.2002115088641703,0.8413151666296254,0.2492817424961561
L0_S23__notna,0.0016132631358119472,1.0016145651448516,0.004241513241717254,-0.006699950057903605,0.009926476329527499,0.9933224445652881,1.009975907218485,0.0,0.38035084270037267,0.7036849992581792,0.5069983360659227
L0_S23__abs_sum,0.02417628621537251,1.0244709020709883,0.04934947894538205,-0.07254691517339401,0.12089948760413902,0.930022113488043,1.1285114772742855,0.0,0.4898995233998279,0.6242050003131085,0.6799081806003925
L1_S24__mean,-11.86592785214032,7.025755162079802e-06,0.910672186740539,-13.650812539874112,-10.081043164406529,1.1790370170957827e-06,4.186572167096003e-05,0.0,-13.029856434520779,8.276323004175836e-39,126.50620574953328
L1_S24__std,-1.4521140038964364,0.2340749293703952,0.33618820821322226,-2.1110307840214046,-0.793197223771468,0.12111306066129107,0.45239606909931945,0.0,-4.319348413836856,1.5649055508584375e-05,15.963564887834867
L1_S24__notna,-0.005893978848263385,0.9941233565701504,0.0008545197851151097,-0.007568806851165906,-0.004219150845360864,0.9924597644384424,0.9957897372670775,0.0,-6.8974164799114925,5.295675808700176e-12,37.45832233287339
L1_S24__abs_sum,-0.03761384755338524,0.9630847666348022,0.009551637714024612,-0.05633471346624797,-0.018892981640522506,0.9452227041686827,0.9812843720673957,0.0,-3.937947468229145,8.218158001211727e-05,13.5708254066018
L1_S25__mean,1.0206978621866574,2.7751307471724718,1.5336272399001747,-1.9851562937272544,4.026552018100569,0.1373591440665822,56.067258690611524,0.0,0.6655449483624819,0.5057020043243904,0.9836405983617976
L1_S25__std,-3.403607932310031,0.03325307841320747,0.45462338221480986,-4.294653387980846,-2.512562476639216,0.013641299116174715,0.08106025786384215,0.0,-7.486653932599146,7.06516702918584e-14,43.6862696603862
L1_S25__notna,-0.011257866611080115,0.9888052660341757,0.0012792035762988266,-0.01376505954952065,-0.00875067367263958,0.9863292456810797,0.9912875020366768,0.0,-8.800684128520789,1.3598460300207831e-18,59.35126239789436
L1_S25__abs_sum,-0.09933327823392438,0.9054408939902462,0.015454332026119589,-0.1296232124102427,-0.06904334405760607,0.8784263487205,0.9332862267895267,0.0,-6.4275361798905175,1.296887353568398e-10,32.84422777499409
L2_S26__mean,2.1354565558504697,8.460908502463216,0.45913259672067697,1.23557320214959,3.0353399095513494,3.440349971630272,20.80804955233422,0.0,4.651067188657093,3.302217114545815e-06,18.20813359147725
L2_S26__std,-0.7207959866646508,0.48636496181617467,0.2708984710311567,-1.2517472333526851,-0.18984473997661655,0.28600464319323604,0.8270875376055554,0.0,-2.6607606308038196,0.007796436151409996,7.0029694839745025
L2_S26__notna,-0.00934488445157857,0.9906986432883732,0.002574109254933129,-0.014390045883518734,-0.004299723019638404,0.9857129959755877,0.9957095075550073,0.0,-3.6303371481492666,0.00028305124880064283,11.78664909081479
L2_S26__abs_sum,-0.08126426465709873,0.9219500204431947,0.027598240791589883,-0.1353558226452791,-0.027172706668918363,0.8734050790850342,0.9731931500623349,0.0,-2.9445450987536383,0.0032342980623128784,8.272331645675571
L2_S27__mean,1.5598498476893732,4.758106750774869,0.5316312155626263,0.5178718121293757,2.6018278832493706,1.6784517852620489,13.488370682172897,0.0,2.934082503109945,0.0033453527251102485,8.22362595184043
L2_S27__std,-0.9192236233931459,0.39882856208228185,0.3500819455008899,-1.605371628212604,-0.23307561857368775,0.20081491255447165,0.7920936742657192,0.0,-2.625738445545771,0.008646122699133698,6.85373097466287
L2_S27__notna,-0.007039406783213791,0.9929853118053075,0.00327930540053782,-0.013466727262575615,-0.0006120863038519674,0.9866235434377031,0.999388100982756,0.0,-2.146615189320061,0.03182392965555952,4.973744197457487
L2_S27__abs_sum,-0.1106395320668359,0.8952614038000394,0.034983166290547096,-0.1792052780614839,-0.04207378607218791,0.8359342828139744,0.9587990319478,0.0,-3.162650605949643,0.001563398444625595,9.321098777067533
L3_S29__mean,1.6353013443577715,5.13100396317538,0.377778508918935,0.8948690727434153,2.375733615972128,2.4470153874765894,10.758903194830575,0.0,4.328730475000842,1.4997133437380634e-05,16.024953705108228
L3_S29__std,0.8273565759511615,2.287264531800053,0.3376455601186685,0.1655834385787177,1.4891297133236052,1.1800814229284131,4.4332356537298665,0.0,2.450370073459221,0.014270945568333483,6.13077526129946
L3_S29__notna,0.008484626174372675,1.0085207226311235,0.001231190346788766,0.0060715374365533144,0.010897714912192035,1.0060900065797533,1.0109573112987442,0.0,6.891400827258414,5.5245630377307254e-12,37.39727677880111
L3_S29__abs_sum,0.029198389874830737,1.029628842151242,0.00871343615681919,0.012120368825876023,0.046276410923785455,1.0121941181512673,1.0473638737656403,0.0,3.35096158958827,0.0008053147171575061,10.278159680606391
L3_S30__mean,-1.1250255387837236,0.3246441762350736,0.4015107468487998,-1.9119721420131501,-0.338078935554297,0.1477886388223133,0.7131389936547479,0.0,-2.8019811365282927,0.00507898432876416,7.621244262144492
L3_S30__std,-0.07015295302378564,0.9322512183577816,0.35680926407153346,-0.7694862599542327,0.6291803539066614,0.4632509977778477,1.8760722336238593,0.0,-0.19661191591068475,0.8441312450766554,0.2444607690583226
L3_S30__notna,0.00010303615773648084,1.0001030414661436,0.0006742646469630579,-0.001218498266359727,0.0014245705818326888,0.9987822438012194,1.0014255857645131,0.0,0.15281263551420643,0.8785460330711677,0.18681021395413475
L3_S30__abs_sum,-0.01182966261108967,0.988240032752734,0.010344738446720424,-0.032104977396148524,0.00844565217396918,0.9684049161164655,1.0084814173100205,0.0,-1.1435439061139345,0.25281283615395345,1.9838583790562163
L3_S32__mean,1.575047190999793,4.830969591016071,0.6491366699622299,0.3027626968295589,2.847331685170027,1.3535932143657086,17.241714084876126,0.0,2.4263722323550714,0.015250619238653024,6.034988366483051
L3_S32__notna,1.0144195445619815,2.7577621746509826,0.055850120777916824,0.9049553193050524,1.1238837698189106,2.471821477888688,3.0767805361217913,0.0,18.163247105511786,1.0087773070637126e-73,242.48814319976046
L3_S32__abs_sum,4.4888534776679805,89.01932470398721,1.0011883792876533,2.5265603125241527,6.451146642811809,12.510400176847517,633.428192442584,0.0,4.483525349007552,7.341987635522712e-06,17.055397884495143
L3_S33__mean,0.021901362433946966,1.0221429578043555,0.2530448962083691,-0.4740575206061326,0.5178602454740265,0.6224714466029974,1.6784323713010059,0.0,0.086551290945273,0.9310281847268446,0.10310325218367171
L3_S33__std,-1.1936174956815728,0.30312273312114885,0.3825947405524194,-1.943489407838761,-0.44374558352438476,0.14320338193946502,0.6416286409609809,0.0,-3.1197958810362554,0.0018097640129959946,9.109982697561705
L3_S33__notna,-0.12291025247266937,0.8843430265993538,0.0048200545316080595,-0.13235738575814024,-0.1134631191871985,0.8760278592469337,0.8927371206746729,0.0,-25.499763885796586,1.9831700643421023e-143,474.04790916945876
L3_S33__abs_sum,-0.06714875464448226,0.9350560970535408,0.04668087847434965,-0.15864159522089866,0.024344085931934115,0.8533021317326788,1.024642822421671,0.0,-1.4384638172861155,0.1503024966671361,2.734059120900017
L3_S35__mean,-1.2951608320040258,0.2738538163312858,0.7264051093830719,-2.718888684580725,0.12856702057267366,0.0659480027501952,1.1371976343739636,0.0,-1.7829731857255133,0.07459066834380394,3.7448610361870944
L3_S35__std,0.22499668521412708,1.2523185650170965,0.43268936754359366,-0.6230588916647307,1.0730522620929848,0.5363014379984168,2.9242915964195295,0.0,0.5199958725388799,0.6030664518756135,0.7296111134763199
L3_S35__notna,0.004720439327492058,1.0047315981524907,0.003754378269819848,-0.0026380068656946453,0.012078885520678762,0.9973654696167502,1.0121521298646574,0.0,1.2573158558470363,0.20863928471008553,2.260917266270637
L3_S35__abs_sum,0.0606622556514243,1.0625399867020981,0.10039713827354377,-0.1361125195156093,0.2574370308184579,0.8727444261836752,1.2936103508305772,0.0,0.6042229558988312,0.5456954207427973,0.8738321576444202
L3_S36__mean,-0.6671814038508032,0.5131529121548394,0.4397416185658357,-1.529059138743191,0.1946963310415848,0.21673949320700803,1.2149419902974932,0.0,-1.51721232578971,0.12921308532555112,2.9521759166638795
L3_S36__std,0.08726904804843247,1.091190222827827,0.36891940532965856,-0.6357996995956323,0.8103377956924973,0.5295118685287127,2.248667448575758,0.0,0.23655315168485294,0.8130034682118803,0.29866658814498304
L3_S36__notna,0.010019622257063859,1.0100699867426466,0.0037472099334129347,0.0026752257450637727,0.017364018769063946,1.0026788073546165,1.0175156497124034,0.0,2.673888689214178,0.007497733316127436,7.0593297727654445
L3_S36__abs_sum,-0.031197637800996728,0.9692839869885933,0.06853664171333054,-0.1655269871804501,0.10313171157845667,0.8474469926914051,1.1086374198446458,0.0,-0.4551964762365751,0.6489678953591391,0.623780985463879
